id;fecha;hora_inicio;hora_fin;precio
1;2025-11-07;2025-11-08T06:38:05;2025-11-08T01:28:43;72576
2;2025-11-07;2025-11-08T05:53:41;2025-11-07T19:52:17;16733
3;2025-11-07;2025-11-07T19:31:01;2025-11-08T10:56:39;84918
4;2025-11-07;2025-11-08T05:33:10;2025-11-08T09:28:50;39423
5;2025-11-08;2025-11-08T01:09:16;2025-11-07T23:15:06;41248
6;2025-11-08;2025-11-08T11:18:25;2025-11-08T02:20:20;59985
7;2025-11-08;2025-11-08T09:13:16;2025-11-07T20:10:07;49893
8;2025-11-07;2025-11-07T20:39:20;2025-11-08T14:08:50;72084
9;2025-11-08;2025-11-07T22:05:16;2025-11-08T12:07:47;47980
10;2025-11-08;2025-11-07T19:11:35;2025-11-08T00:16:42;4179
