id;titulo;sinopsis;duracion;idioma;clasificacion;formato;estado;imagen_url
1;Madera;../fake-data/blob/hipster.txt;14651;copy Murcia Baleares;Silla Inversor Kwacha;24 FTP Granito;RETIRADA;Hormigon
2;Suriname transmit;../fake-data/blob/hipster.txt;49337;Investment Market withdrawal;Teclado Mobilidad;generación firmware;PROXIMO_ESTRENO;Peso Camino
3;fritas Violeta Marca;../fake-data/blob/hipster.txt;50880;hack deposit;Intercambiable;open-source GB;EN_CARTELERA;viral Algodón
4;Rústico Senior grupo;../fake-data/blob/hipster.txt;747;parse Violeta;enhance Corporativo;Urbanización Granito Nauru;PROXIMO_ESTRENO;Baleares Marroquinería
5;Gourde Acero Zimbabwe;../fake-data/blob/hipster.txt;13425;bandwidth;Nacional;protocol;EN_CARTELERA;Castilla Desarrollador
6;Andalucía compress;../fake-data/blob/hipster.txt;60934;Bulgaria;política XSS Gris;vortals Amigable XSS;RETIRADA;Lugar
7;Castilla;../fake-data/blob/hipster.txt;84988;Berkshire Acero Verde;USB Identidad;solid Pública;PROXIMO_ESTRENO;Extremadura Web Acero
8;array;../fake-data/blob/hipster.txt;66377;Sopa;basado estatica facilitate;Calidad Ladrillo COM;PROXIMO_ESTRENO;Papelería web-enabled Avon
9;Granada infrastructures Parafarmacia;../fake-data/blob/hipster.txt;58947;Gibraltar;Pizza transmit hardware;ADP;RETIRADA;Account Salchichas generate
10;Grupo Progresivo;../fake-data/blob/hipster.txt;29446;Blanco;Creativo Administrador de;generating Nacional;RETIRADA;Informática de Jefe
