id;nombre;descripcion;porcentaje_descuento;fecha_inicio;fecha_fin;activa
1;up;Sorprendente;87930;2025-11-08;2025-11-08;false
2;Méjico Hogar USB;JBOD Algodón Genérico;41151;2025-11-08;2025-11-08;true
3;Credit global Hormigon;wireless Nacional;84324;2025-11-08;2025-11-08;true
4;bypassing;Pequeño digital Música;32928;2025-11-08;2025-11-07;false
5;Gorro Borders;Guapa B2C Unidos;83293;2025-11-08;2025-11-08;false
6;Berkshire Loan;estable;71949;2025-11-08;2025-11-07;false
7;fidelidad;Canarias;85285;2025-11-07;2025-11-08;false
8;Salchichas transmitting experiences;Creativo;2323;2025-11-07;2025-11-07;true
9;deposit redundant;payment;20573;2025-11-07;2025-11-07;true
10;channels PNG;quantifying Rústico;81167;2025-11-08;2025-11-07;true
