id;tipo;fecha_generacion;descripcion
1;Ergonómico de holistic;2025-11-08;Pescado Calleja HDD
2;transmit;2025-11-07;Sabroso compress generate
3;Integración Sopa;2025-11-07;Mesa
4;Martinica;2025-11-08;Asistente interface HDD
5;indexing e-business;2025-11-08;Cambridgeshire Zloty
6;Jamaican Verde medición;2025-11-07;Canarias
7;Algodón Futuro;2025-11-07;Interno
8;Fácil;2025-11-08;Bedfordshire acceso
9;Kwacha cross-media;2025-11-08;quantifying withdrawal archivo
10;extend bluetooth Camboya;2025-11-08;Supervisor Regional
