id;nombre;capacidad;tipo;estado
1;ejecutiva SDD morph;96061;VIP;copying deliver Decoración
2;matrix focus virtual;14307;VIP;Bricolaje Dollar transmitter
3;empower Acero Macao;80115;DOSD;Bicicleta bidireccional
4;Mercados Borders;10563;VIP;holistic Home
5;Algodón Acero;49507;TRESD;Electrónica
6;estable;51712;VIP;Morado
7;sistémica Futuro Guapo;51503;DOSD;RAM Compatible Azul
8;Sorprendente;72019;DOSD;Morado
9;e-markets;47156;TRESD;Cambridgeshire
10;dynamic solutions bypass;35645;DOSD;Pequeño Prolongación Perú
