id;nombre;descripcion;monto;dia_semana;tipo_sala
1;Helena;1080p;22073;compressing Marroquinería protocol;VIP
2;compressing;colaboración invoice Hormigon;20476;technologies Bedfordshire Ouguiya;VIP
3;enterprise;motivadora Camiseta Ladrillo;24024;deposit Acero Bicicleta;TRESD
4;mobile;ADP;30529;back-end Métricas;TRESD
5;wireless archivo deposit;Morado;57280;Verde Morado navigating;VIP
6;synergies Granito connecting;Cambridgeshire Ladrillo;20070;jerarquía;TRESD
7;Metal;mobile;11633;terciaria;DOSD
8;Comunidad Deportes;online;32452;input digital PNG;TRESD
9;Market Forint Interacciones;Market real-time invoice;89030;Salud payment;VIP
10;Ordenador;invoice Reactivo;51834;virtual Pantalones;DOSD
